truth,predicted,count
Alabama Court of Appeals,Alabama Court of Appeals,331
Alaska Supreme Court,Alabama Court of Appeals,0
Appellate Court of Illinois,Alabama Court of Appeals,0
Appellate Division of the Supreme Court of the State of New York,Alabama Court of Appeals,0
Arizona Supreme Court,Alabama Court of Appeals,1
Arkansas Attorney General Reports,Alabama Court of Appeals,0
Board of Veterans' Appeals,Alabama Court of Appeals,0
California Court of Appeal,Alabama Court of Appeals,0
California Supreme Court,Alabama Court of Appeals,0
Colorado Attorney General Reports,Alabama Court of Appeals,0
Colorado Court of Appeals,Alabama Court of Appeals,0
Commonwealth Court of Pennsylvania,Alabama Court of Appeals,1
Connecticut Appellate Court,Alabama Court of Appeals,0
Connecticut Superior Court,Alabama Court of Appeals,0
Court for the Trial of Impeachments and Correction of Errors,Alabama Court of Appeals,0
Court of Appeals for the D.C. Circuit,Alabama Court of Appeals,0
Court of Appeals for the Eighth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Eleventh Circuit,Alabama Court of Appeals,0
Court of Appeals for the Federal Circuit,Alabama Court of Appeals,0
Court of Appeals for the Fifth Circuit,Alabama Court of Appeals,0
Court of Appeals for the First Circuit,Alabama Court of Appeals,0
Court of Appeals for the Fourth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Ninth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Second Circuit,Alabama Court of Appeals,0
Court of Appeals for the Seventh Circuit,Alabama Court of Appeals,0
Court of Appeals for the Sixth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Tenth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Third Circuit,Alabama Court of Appeals,0
Court of Appeals of Arkansas,Alabama Court of Appeals,0
Court of Appeals of Georgia,Alabama Court of Appeals,0
Court of Appeals of Iowa,Alabama Court of Appeals,0
Court of Appeals of Kansas,Alabama Court of Appeals,0
Court of Appeals of Kentucky (pre-1976),Alabama Court of Appeals,0
Court of Appeals of Maryland,Alabama Court of Appeals,0
Court of Appeals of Minnesota,Alabama Court of Appeals,0
Court of Appeals of Mississippi,Alabama Court of Appeals,0
Court of Appeals of North Carolina,Alabama Court of Appeals,0
Court of Appeals of Oregon,Alabama Court of Appeals,0
Court of Appeals of South Carolina,Alabama Court of Appeals,0
Court of Appeals of Texas,Alabama Court of Appeals,1
Court of Appeals of Washington,Alabama Court of Appeals,0
Court of Appeals of Wisconsin,Alabama Court of Appeals,0
Court of Chancery of Delaware,Alabama Court of Appeals,0
